2019/7/1 10:02:34,结束监听:0.0.0.0:12000
2019/7/1 10:03:04,正在监听:0.0.0.0:12000
10:03:07:Received: 192.168.10.101:51927的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":10} .
10:03:07:Sent: 192.168.10.101:51927的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":"{\"Table\":[{\"ID\":63,\"N .
10:03:43:Received: 192.168.10.101:51928的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":10} .
10:03:43:Sent: 192.168.10.101:51928的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":"{\"Table\":[{\"ID\":63,\"N .
10:03:44:Received: 192.168.10.101:51929的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"XL20190627-1"} .
10:03:58:Sent: 192.168.10.101:51929的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"\"AAEAAAD/////AQAAA .
10:05:13:Received: 192.168.10.101:51931的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":10} .
10:05:13:Sent: 192.168.10.101:51931的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":"{\"Table\":[{\"ID\":63,\"N .
10:05:13:Received: 192.168.10.101:51932的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"XL20190627-1"} .
10:05:13:Sent: 192.168.10.101:51932的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"\"AAEAAAD/////AQAAA .
10:05:16:Received: 192.168.10.101:51933的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"94440"} .
10:05:16:Sent: 192.168.10.101:51933的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"\"AAEAAAD/////AQAAA .
10:05:17:Received: 192.168.10.101:51934的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"9111111111"} .
10:05:17:Sent: 192.168.10.101:51934的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"\"AAEAAAD/////AQAAA .
10:05:20:Received: 192.168.10.101:51936的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":10} .
10:05:20:Sent: 192.168.10.101:51936的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":"{\"Table\":[{\"ID\":63,\"N .
10:05:20:Received: 192.168.10.101:51937的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"XL20190627-1"} .
10:05:20:Sent: 192.168.10.101:51937的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"\"AAEAAAD/////AQAAA .
10:05:23:Received: 192.168.10.101:51938的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":10} .
10:05:23:Sent: 192.168.10.101:51938的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":"{\"Table\":[{\"ID\":63,\"N .
10:05:23:Received: 192.168.10.101:51939的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"XL20190627-1"} .
10:05:23:Sent: 192.168.10.101:51939的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"\"AAEAAAD/////AQAAA .
10:05:32:Received: 192.168.10.101:51940的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"9111111111"} .
10:05:32:Sent: 192.168.10.101:51940的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"\"AAEAAAD/////AQAAA .
10:05:33:Received: 192.168.10.101:51941的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"94440"} .
10:05:33:Sent: 192.168.10.101:51941的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"\"AAEAAAD/////AQAAA .
10:05:34:Received: 192.168.10.101:51942的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"XL20190627-1"} .
10:05:34:Sent: 192.168.10.101:51942的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"\"AAEAAAD/////AQAAA .
10:05:34:Received: 192.168.10.101:51943的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"XL20190627-1"} .
10:05:34:Sent: 192.168.10.101:51943的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"\"AAEAAAD/////AQAAA .
10:05:35:Received: 192.168.10.101:51944的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"94440"} .
10:05:35:Sent: 192.168.10.101:51944的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"\"AAEAAAD/////AQAAA .
10:05:35:Received: 192.168.10.101:51945的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"9111111111"} .
10:05:35:Sent: 192.168.10.101:51945的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"\"AAEAAAD/////AQAAA .
10:06:16:Received: 192.168.10.101:51947的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"94440"} .
10:06:16:Sent: 192.168.10.101:51947的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"\"AAEAAAD/////AQAAA .
10:09:05:Received: 192.168.10.101:51950的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":10} .
10:09:05:Sent: 192.168.10.101:51950的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":"{\"Table\":[{\"ID\":63,\"N .
10:09:05:Received: 192.168.10.101:51951的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"XL20190627-1"} .
10:09:05:Sent: 192.168.10.101:51951的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"\"AAEAAAD/////AQAAA .
10:09:07:Received: 192.168.10.101:51952的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":10} .
10:09:07:Sent: 192.168.10.101:51952的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":"{\"Table\":[{\"ID\":63,\"N .
10:09:09:Received: 192.168.10.101:51953的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":10} .
10:09:09:Sent: 192.168.10.101:51953的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":"{\"Table\":[{\"ID\":63,\"N .
10:09:10:Received: 192.168.10.101:51954的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":10} .
10:09:10:Sent: 192.168.10.101:51954的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":"{\"Table\":[{\"ID\":63,\"N .
10:09:11:Received: 192.168.10.101:51955的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":10} .
10:09:11:Sent: 192.168.10.101:51955的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":"{\"Table\":[{\"ID\":63,\"N .
10:11:29:Received: 192.168.10.101:51967的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":10} .
10:11:29:Sent: 192.168.10.101:51967的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":"{\"Table\":[{\"ID\":63,\"N .
10:11:51:Received: 192.168.10.101:51968的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":10} .
10:11:51:Sent: 192.168.10.101:51968的消息：{"Function":"GetreportLimitN","Mode":"Get","Content":"{\"Table\":[{\"ID\":63,\"N .
10:11:53:Received: 192.168.10.101:51969的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"9111111111"} .
10:11:53:Sent: 192.168.10.101:51969的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"\"AAEAAAD/////AQAAA .
10:11:53:Received: 192.168.10.101:51970的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"94440"} .
10:11:53:Sent: 192.168.10.101:51970的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"\"AAEAAAD/////AQAAA .
10:13:15:Received: 192.168.10.101:51971的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"94440"} .
10:13:15:Sent: 192.168.10.101:51971的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"\"AAEAAAD/////AQAAA .
10:13:15:Received: 192.168.10.101:51972的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"XL20190627-1"} .
10:13:15:Sent: 192.168.10.101:51972的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"\"AAEAAAD/////AQAAA .
10:13:16:Received: 192.168.10.101:51973的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"9111111111"} .
10:13:16:Sent: 192.168.10.101:51973的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"\"AAEAAAD/////AQAAA .
10:13:16:Received: 192.168.10.101:51974的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"94440"} .
10:13:16:Sent: 192.168.10.101:51974的消息：{"Function":"GetReportSingleContent","Mode":"Get","Content":"\"AAEAAAD/////AQAAA .
2019/7/1 10:26:55,结束监听:0.0.0.0:12000
